País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,28/04/2024,01:00,21:00,Bahia,Gremio,1,0,Braulio Da Silva Machado,10,15,2,4,0,1,-,90'+8,Sim,1x0,1x0,1.72,3.76,4.65
Brazil,Serie A,2024,28/04/2024,15:00,11:00,Flamengo RJ,Botafogo RJ,0,2,Raphael Claus,12,15,1,4,0,0,-,-,Não,-,-,1.58,3.98,5.58
Brazil,Serie A,2024,28/04/2024,20:00,16:00,Corinthians,Fluminense,3,0,Ramon Abatti Abel,15,15,4,2,0,0,-,-,Não,-,-,2.19,3.13,3.48
Brazil,Serie A,2024,28/04/2024,20:00,16:00,Cruzeiro,Vitoria,3,1,Fabio Augusto Santos Sa Junior,12,6,2,0,0,0,-,-,Não,-,-,1.53,3.95,6.35
Brazil,Serie A,2024,28/04/2024,22:30,18:30,Fortaleza,Bragantino,1,1,Davi de Oliveira Lacerda,9,6,1,1,0,0,-,-,Não,-,-,2.2,3.18,3.38
Brazil,Serie A,2024,28/04/2024,22:30,18:30,Juventude,Athletico-PR,1,1,Alex Gomes Stefano,12,17,2,2,0,0,-,-,Não,-,-,2.91,2.97,2.62
Brazil,Serie A,2024,29/04/2024,00:00,20:00,Internacional,Atletico GO,1,1,Edina Alves Batista,13,12,0,4,0,0,-,-,Não,-,-,1.53,3.79,6.63
Brazil,Serie A,2024,30/04/2024,00:00,20:00,Sao Paulo,Palmeiras,0,0,Wilton Pereira Sampaio,10,20,4,3,0,0,-,-,Não,-,-,2.61,2.92,2.98
Brazil,Serie A,2024,04/05/2024,20:00,16:00,Fluminense,Atletico-MG,2,2,Raphael Claus,11,18,5,2,0,0,-,-,Não,-,-,3.44,3.24,2.16
Brazil,Serie A,2024,04/05/2024,22:30,18:30,Bragantino,Flamengo RJ,1,1,Paulo Cesar Zanovelli da Silva,17,10,2,2,0,0,-,-,Não,-,-,2.8,3.11,2.6
Brazil,Serie A,2024,05/05/2024,01:00,21:00,Corinthians,Fortaleza,0,0,Felipe Fernandes de Lima,14,17,1,7,0,0,-,-,Não,-,-,2.13,03.06,3.78
Brazil,Serie A,2024,05/05/2024,20:00,16:00,Athletico-PR,Vasco,1,0,Anderson Daronco,11,9,1,0,0,1,-,16',Sim,0x0,1x0,1.66,3.73,5.22
Brazil,Serie A,2024,05/05/2024,20:00,16:00,Vitoria,Sao Paulo,1,3,Ramon Abatti Abel,10,13,3,4,1,0,7',-,Sim,0x0,1x3,3.66,03.04,2.18
Brazil,Serie A,2024,05/05/2024,22:30,18:30,Botafogo RJ,Bahia,1,2,Rafael Rodrigo Klein,10,5,2,2,0,0,-,-,Não,-,-,2.11,3.48,3.34
Brazil,Serie A,2024,05/05/2024,22:30,18:30,Cuiaba,Palmeiras,0,2,Bruno Arleu de Araujo,10,11,2,3,0,0,-,-,Não,-,-,4.99,3.18,1.83
Brazil,Serie A,2024,11/05/2024,20:00,16:00,Flamengo RJ,Corinthians,2,0,Ramon Abatti Abel,12,16,1,1,0,0,-,-,Não,-,-,1.59,3.8,06.03
Brazil,Serie A,2024,12/05/2024,20:00,16:00,Atletico GO,Cruzeiro,0,1,Rodrigo Jose Pereira de Lima,13,10,1,2,0,0,-,-,Não,-,-,2.98,3.11,2.48
Brazil,Serie A,2024,12/05/2024,20:00,16:00,Fortaleza,Botafogo RJ,1,1,Wilton Pereira Sampaio,12,19,4,6,0,0,-,-,Não,-,-,1.96,3.38,3.97
Brazil,Serie A,2024,12/05/2024,20:00,16:00,Palmeiras,Athletico-PR,0,2,Braulio Da Silva Machado,11,17,4,6,0,1,-,67',Sim,2x0,2x0,1.7,3.67,4.96
Brazil,Serie A,2024,12/05/2024,22:30,18:30,Bahia,Bragantino,1,0,Gustavo Ervino Bauermann,12,15,2,3,0,0,-,-,Não,-,-,1.79,3.7,4.33
Brazil,Serie A,2024,12/05/2024,22:30,18:30,Vasco,Vitoria,2,1,Raphael Claus,12,12,5,2,0,1,-,90'+2,Sim,2x1,2x1,1.73,3.6,4.89
Brazil,Serie A,2024,14/05/2024,00:00,20:00,Sao Paulo,Fluminense,2,1,Anderson Daronco,15,12,5,3,0,0,-,-,Não,-,-,1.69,3.6,5.15
Brazil,Serie A,2024,01/06/2024,20:00,16:00,Gremio,Bragantino,0,2,Ramon Abatti Abel,16,19,4,5,0,0,-,-,Não,-,-,3.17,3.15,2.34
Brazil,Serie A,2024,01/06/2024,20:00,16:00,Vitoria,Atletico GO,0,2,Kleber Ariel Goncalves da Silva,7,9,3,2,2,0,39' e 83',-,Sim,0x0,0x2,2.2,3.12,3.51
Brazil,Serie A,2024,01/06/2024,22:30,18:30,Cuiaba,Internacional,0,1,Andrerson Ribeiro Goncalves,12,21,4,4,0,0,-,-,Não,-,-,3.67,2.97,2.21
Brazil,Serie A,2024,01/06/2024,22:30,18:30,Fluminense,Juventude,1,1,Matheus Delgado Candançan,13,19,2,4,0,1,-,84',Sim,1x1,1x1,1.56,04.04,5.8
Brazil,Serie A,2024,02/06/2024,01:00,21:00,Corinthians,Botafogo RJ,0,1,Anderson Daronco,7,16,2,4,0,0,-,-,Não,-,-,2.14,3.23,3.51
Brazil,Serie A,2024,02/06/2024,20:00,16:00,Atletico-MG,Bahia,1,1,Bruno Arleu de Araujo,13,9,6,4,0,0,-,-,Não,-,-,1.77,3.63,4.49
Brazil,Serie A,2024,02/06/2024,20:00,16:00,Criciuma,Palmeiras,1,2,Rafael Rodrigo Klein,17,9,7,3,0,0,-,-,Não,-,-,4.61,3.28,1.86
Brazil,Serie A,2024,02/06/2024,20:00,16:00,Vasco,Flamengo RJ,1,6,Braulio Da Silva Machado,18,6,2,0,1,0,45'+4,-,Sim,1x3,1x6,4.89,3.75,1.69
Brazil,Serie A,2024,02/06/2024,22:30,18:30,Fortaleza,Athletico-PR,1,0,Joao Vitor Gobi,12,17,3,4,0,0,-,-,Não,-,-,1.93,3.3,4.17
Brazil,Serie A,2024,02/06/2024,22:30,18:30,Sao Paulo,Cruzeiro,2,0,Lucas Paulo Torezin,18,11,2,2,0,1,-,38',Sim,1x0,2x0,1.94,3.17,4.34
Brazil,Serie A,2024,05/06/2024,23:00,19:00,Juventude,Atletico GO,1,0,Raphael Claus,13,12,3,4,1,0,90',-,Sim,1x0,1x0,2.37,2.93,3.36
Brazil,Serie A,2024,06/06/2024,00:00,20:00,Cuiaba,Vitoria,0,0,Wilton Pereira Sampaio,19,14,3,4,0,0,-,-,Não,-,-,2.18,2.95,3.8
Brazil,Serie A,2024,09/06/2024,20:00,16:00,Criciuma,Cuiaba,2,5,Bruno Arleu de Araujo,10,13,5,6,1,0,79',-,Sim,2x4,2x5,2.13,03.06,3.76
Brazil,Serie A,2024,11/06/2024,23:00,19:00,Atletico GO,Corinthians,2,2,Paulo Cesar Zanovelli da Silva,12,13,3,5,0,1,-,34',Sim,0x1,2x2,2.59,03.02,2.91
