País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,05/07/2024,00:00,20:00,Fluminense,Internacional,1,1,Felipe Fernandes de Lima,17,17,6,5,0,0,-,-,Não,-,-,2.72,3,2.77
Brazil,Serie A,2024,07/07/2024,00:00,20:00,Flamengo RJ,Cuiaba,1,1,Rodrigo Jose Pereira de Lima,14,12,1,3,0,0,-,-,Não,-,-,1.41,4.29,8.12
Brazil,Serie A,2024,07/07/2024,00:00,20:00,Sao Paulo,Bragantino,2,0,Bruno Pereira Vasconcelos,10,9,2,2,0,0,-,-,Não,-,-,1.95,3.27,04.08
Brazil,Serie A,2024,07/07/2024,20:00,16:00,Cruzeiro,Corinthians,3,0,Alex Gomes Stefano,22,12,2,1,0,0,-,-,Não,-,-,1.79,3.54,4.53
Brazil,Serie A,2024,07/07/2024,20:00,16:00,Fortaleza,Fluminense,1,0,Davi de Oliveira Lacerda,13,14,1,2,0,0,-,-,Não,-,-,1.72,3.55,05.05
Brazil,Serie A,2024,07/07/2024,20:00,16:00,Juventude,Gremio,3,0,Matheus Delgado Candançan,14,10,1,3,0,0,-,-,Não,-,-,2.59,3.14,2.81
Brazil,Serie A,2024,07/07/2024,22:00,18:00,Internacional,Vasco,1,2,Gustavo Ervino Bauermann,16,12,2,2,0,0,-,-,Não,-,-,1.67,3.57,5.54
Brazil,Serie A,2024,07/07/2024,22:30,18:30,Atletico GO,Athletico-PR,1,2,Joao Vitor Gobi,11,11,1,3,1,0,74',-,Sim,1x1,1x2,1.94,3.36,04.02
Brazil,Serie A,2024,07/07/2024,22:30,18:30,Palmeiras,Bahia,2,0,Jonathan Berkenstein Pinheiro,15,10,1,1,0,0,-,-,Não,-,-,1.66,04.07,4.72
Brazil,Serie A,2024,07/07/2024,22:30,18:30,Vitoria,Criciuma,2,1,Bruno Mota Correia,12,18,1,2,0,0,-,-,Não,-,-,2.17,3.15,3.55
Brazil,Serie A,2024,08/07/2024,00:30,20:30,Botafogo RJ,Atletico-MG,3,0,Rafael Rodrigo Klein,19,12,2,1,0,0,-,-,Não,-,-,1.96,3.4,3.88
Brazil,Serie A,2024,10/07/2024,22:30,18:30,Gremio,Cruzeiro,0,2,Bruno Arleu de Araujo,9,10,1,1,1,0,57',-,Sim,0x2,0x2,2.52,3.18,2.88
Brazil,Serie A,2024,10/07/2024,23:00,19:00,Athletico-PR,Bahia,1,3,Felipe Fernandes de Lima,13,13,2,4,0,0,-,-,Não,-,-,2.29,3.31,3.16
Brazil,Serie A,2024,10/07/2024,23:00,19:00,Vasco,Corinthians,2,0,Rafael Rodrigo Klein,15,10,3,5,0,0,-,-,Não,-,-,2.28,3.13,3.35
Brazil,Serie A,2024,11/07/2024,23:30,19:30,Palmeiras,Atletico GO,3,1,Wagner do Nascimento Magalhaes,9,19,2,2,0,0,-,-,Não,-,-,1.37,4.77,8.59
Brazil,Serie A,2024,12/07/2024,00:00,20:00,Criciuma,Fluminense,1,1,Anderson Daronco,15,7,2,1,0,0,-,-,Não,-,-,2,3.28,3.98
Brazil,Serie A,2024,12/07/2024,00:00,20:00,Flamengo RJ,Fortaleza,1,2,Edina Alves Batista,9,11,1,1,0,0,-,-,Não,-,-,1.6,3.8,5.89
Brazil,Serie A,2024,12/07/2024,01:30,21:30,Atletico-MG,Sao Paulo,2,1,Marcelo de Lima Henrique,9,13,2,1,0,1,-,59',Sim,2x1,2x1,2.48,03.07,03.06
Brazil,Serie A,2024,12/07/2024,01:30,21:30,Vitoria,Botafogo RJ,0,1,Ramon Abatti Abel,16,24,2,3,0,0,-,-,Não,-,-,03.09,3,2.51
Brazil,Serie A,2024,13/07/2024,20:00,16:00,Bahia,Cuiaba,1,2,Davi de Oliveira Lacerda,4,8,2,3,0,0,-,-,Não,-,-,1.65,3.59,5.71
Brazil,Serie A,2024,13/07/2024,20:00,16:00,Cruzeiro,Bragantino,2,1,Savio Pereira Sampaio,11,14,2,2,0,0,-,-,Não,-,-,02.08,3.32,3.62
Brazil,Serie A,2024,16/07/2024,23:00,19:00,Juventude,Atletico-MG,1,1,Alex Gomes Stefano,8,12,2,1,0,0,-,-,Não,-,-,3.98,3.48,1.93
Brazil,Serie A,2024,17/07/2024,01:00,21:00,Corinthians,Criciuma,2,1,Jonathan Berkenstein Pinheiro,10,17,1,0,0,0,-,-,Não,-,-,1.78,3.54,4.68
Brazil,Serie A,2024,17/07/2024,23:00,19:00,Atletico GO,Vasco,0,1,Matheus Delgado Candançan,13,11,2,3,0,0,-,-,Não,-,-,2.22,3.2,3.38
Brazil,Serie A,2024,18/07/2024,00:00,20:00,Sao Paulo,Gremio,1,0,Gustavo Ervino Bauermann,10,17,1,0,1,0,90'+9,-,Sim,1x0,1x0,1.56,3.78,6.54
Brazil,Serie A,2024,18/07/2024,01:30,21:30,Botafogo RJ,Palmeiras,1,0,Anderson Daronco,20,10,2,0,0,0,-,-,Não,-,-,2.79,3.23,2.56
Brazil,Serie A,2024,18/07/2024,01:30,21:30,Fortaleza,Vitoria,3,1,Rafael Rodrigo Klein,19,19,4,3,0,0,-,-,Não,-,-,1.62,3.75,5.66
Brazil,Serie A,2024,20/07/2024,20:00,16:00,Flamengo RJ,Criciuma,2,1,Maguielson Lima Barbosa,12,21,4,9,0,0,-,-,Não,-,-,1.4,4.58,7.9
Brazil,Serie A,2024,20/07/2024,22:30,18:30,Botafogo RJ,Internacional,1,0,Flavio Rodrigues De Souza,16,14,4,2,0,0,-,-,Não,-,-,1.91,3.26,4.43
Brazil,Serie A,2024,21/07/2024,01:00,21:00,Palmeiras,Cruzeiro,2,0,Davi de Oliveira Lacerda,16,16,4,4,0,0,-,-,Não,-,-,1.71,3.69,4.93
Brazil,Serie A,2024,21/07/2024,15:00,11:00,Gremio,Vitoria,2,0,Savio Pereira Sampaio,11,20,1,7,0,0,-,-,Não,-,-,1.79,3.4,4.9
Brazil,Serie A,2024,21/07/2024,20:00,16:00,Atletico-MG,Vasco,2,0,Raphael Claus,13,6,1,1,0,0,-,-,Não,-,-,1.7,3.77,4.92
Brazil,Serie A,2024,21/07/2024,20:00,16:00,Bahia,Corinthians,0,1,Felipe Fernandes de Lima,15,17,4,4,0,0,-,-,Não,-,-,1.68,3.79,05.07
Brazil,Serie A,2024,21/07/2024,22:30,18:30,Bragantino,Athletico-PR,1,0,Denis da Silva Ribeiro Serafim,6,14,2,7,0,0,-,-,Não,-,-,1.97,3.38,3.92
Brazil,Serie A,2024,21/07/2024,22:30,18:30,Fortaleza,Atletico GO,3,1,Lucas Paulo Torezin,12,12,5,3,1,1,55',45'+2,Sim,1x1,3x1,1.72,3.61,05.03
Brazil,Serie A,2024,21/07/2024,22:30,18:30,Juventude,Sao Paulo,0,0,Wilton Pereira Sampaio,13,17,4,2,0,0,-,-,Não,-,-,3.64,3.25,2.1
Brazil,Serie A,2024,22/07/2024,00:00,20:00,Cuiaba,Fluminense,0,1,Anderson Daronco,19,6,1,2,0,0,-,-,Não,-,-,2.52,2.96,3.11
Brazil,Serie A,2024,24/07/2024,23:00,19:00,Criciuma,Fortaleza,1,1,Jonathan Berkenstein Pinheiro,11,8,0,1,0,0,-,-,Não,-,-,2.67,3.1,2.76
Brazil,Serie A,2024,24/07/2024,23:00,19:00,Cruzeiro,Juventude,2,0,Maguielson Lima Barbosa,14,14,3,5,0,1,-,90'+6,Sim,2x0,2x0,1.46,4.23,7.31
Brazil,Serie A,2024,24/07/2024,23:30,19:30,Sao Paulo,Botafogo RJ,2,2,Felipe Fernandes de Lima,17,22,4,3,0,0,-,-,Não,-,-,2.23,2.96,3.68
Brazil,Serie A,2024,25/07/2024,00:00,20:00,Vitoria,Flamengo RJ,1,2,Raphael Claus,9,15,1,1,0,0,-,-,Não,-,-,4.97,3.65,1.72
Brazil,Serie A,2024,25/07/2024,01:30,21:30,Atletico GO,Bahia,1,1,Luciano da Silva Miranda Filho,18,12,5,4,2,0,90'+8 e 90'+11,-,Sim,1x0,1x1,03.03,3.21,2.4
Brazil,Serie A,2024,25/07/2024,01:30,21:30,Fluminense,Palmeiras,1,0,Wilton Pereira Sampaio,14,19,2,3,0,0,-,-,Não,-,-,03.08,3.17,2.41
Brazil,Serie A,2024,26/07/2024,00:00,20:00,Corinthians,Gremio,2,2,Alex Gomes Stefano,21,17,1,2,0,0,-,-,Não,-,-,1.99,3.21,4.11
Brazil,Serie A,2024,27/07/2024,23:00,19:00,Juventude,Criciuma,1,2,Joao Vitor Gobi,13,18,1,2,0,0,-,-,Não,-,-,2.27,3.1,3.41
Brazil,Serie A,2024,27/07/2024,23:00,19:00,Palmeiras,Vitoria,0,2,Caio Max Augusto Vieira,14,9,2,6,0,1,-,90'+2,Sim,0x2,0x2,1.46,4.42,6.93
Brazil,Serie A,2024,28/07/2024,00:00,20:00,Bahia,Internacional,1,1,Matheus Delgado Candançan,12,18,1,3,0,0,-,-,Não,-,-,1.99,3.34,3.93
Brazil,Serie A,2024,28/07/2024,01:30,21:30,Botafogo RJ,Cruzeiro,0,3,Wilton Pereira Sampaio,14,15,2,4,0,0,-,-,Não,-,-,2.1,3.26,3.65
Brazil,Serie A,2024,28/07/2024,01:30,21:30,Fortaleza,Sao Paulo,1,0,Davi de Oliveira Lacerda,15,16,3,4,0,0,-,-,Não,-,-,2.3,2.89,3.63
Brazil,Serie A,2024,28/07/2024,15:00,11:00,Bragantino,Fluminense,0,1,Lucas Paulo Torezin,12,13,1,2,0,0,-,-,Não,-,-,2.35,3.16,3.17
Brazil,Serie A,2024,28/07/2024,20:00,16:00,Flamengo RJ,Atletico GO,2,0,Gustavo Ervino Bauermann,9,12,3,2,0,0,-,-,Não,-,-,1.29,5.45,10.47
Brazil,Serie A,2024,28/07/2024,23:00,19:00,Atletico-MG,Corinthians,2,1,Bruno Arleu de Araujo,17,16,3,3,1,0,90'+7,-,Sim,2x1,2x1,1.69,3.56,5.37
Brazil,Serie A,2024,28/07/2024,23:00,19:00,Cuiaba,Athletico-PR,1,2,Jefferson Ferreira de Moraes,8,12,0,2,0,0,-,-,Não,-,-,2.37,03.07,3.24
Brazil,Serie A,2024,28/07/2024,23:00,19:00,Gremio,Vasco,1,0,Paulo Cesar Zanovelli da Silva,13,13,3,4,0,0,-,-,Não,-,-,02.04,3.26,3.83
Brazil,Serie A,2024,03/08/2024,20:00,16:00,Vitoria,Cuiaba,1,0,Joao Vitor Gobi,16,17,3,3,0,0,-,-,Não,-,-,2.85,2.9,2.78
Brazil,Serie A,2024,03/08/2024,23:00,19:00,Vasco,Bragantino,2,2,Gustavo Ervino Bauermann,8,18,4,1,0,0,-,-,Não,-,-,1.93,3.84,3.63
Brazil,Serie A,2024,04/08/2024,00:00,20:00,Atletico GO,Botafogo RJ,1,4,Felipe Fernandes de Lima,17,14,3,3,1,1,90'+3,90'+3,Sim,1x4,1x4,2.94,3.12,2.53
Brazil,Serie A,2024,04/08/2024,00:00,20:00,Criciuma,Atletico-MG,2,1,Jonathan Berkenstein Pinheiro,14,7,1,2,0,0,-,-,Não,-,-,3.97,3.4,1.96
Brazil,Serie A,2024,04/08/2024,01:30,21:30,Sao Paulo,Flamengo RJ,1,0,Rafael Rodrigo Klein,11,13,1,3,0,0,-,-,Não,-,-,2.21,03.01,3.71
Brazil,Serie A,2024,04/08/2024,20:00,16:00,Athletico-PR,Gremio,0,2,Matheus Delgado Candançan,12,12,2,0,0,0,-,-,Não,-,-,1.65,3.85,5.24
Brazil,Serie A,2024,04/08/2024,20:00,16:00,Corinthians,Juventude,1,1,Lucas Paulo Torezin,16,15,2,7,0,2,-,45'+2 e 57',Sim,0x1,1x1,1.65,3.68,5.64
Brazil,Serie A,2024,04/08/2024,20:00,16:00,Fluminense,Bahia,1,0,Davi de Oliveira Lacerda,12,10,3,2,0,0,-,-,Não,-,-,02.08,3.27,3.72
Brazil,Serie A,2024,04/08/2024,21:00,17:00,Internacional,Palmeiras,1,1,Wagner do Nascimento Magalhaes,19,6,2,0,0,0,-,-,Não,-,-,2.34,3.18,3.17
Brazil,Serie A,2024,06/08/2024,01:00,21:00,Cruzeiro,Fortaleza,1,2,Alex Gomes Stefano,18,17,4,4,0,0,-,-,Não,-,-,1.87,3.39,4.38
Brazil,Serie A,2024,10/08/2024,20:00,16:00,Fortaleza,Criciuma,1,0,Kleber Ariel Goncalves da Silva,16,13,2,4,0,0,-,-,Não,-,-,1.79,3.39,4.91
Brazil,Serie A,2024,10/08/2024,23:00,19:00,Cuiaba,Gremio,1,3,Bruno Pereira Vasconcelos,15,7,1,2,0,0,-,-,Não,-,-,2.53,2.96,03.09
Brazil,Serie A,2024,11/08/2024,01:30,21:30,Corinthians,Bragantino,1,1,Felipe Fernandes de Lima,11,18,4,6,0,0,-,-,Não,-,-,2.16,03.06,3.75
Brazil,Serie A,2024,11/08/2024,01:30,21:30,Cruzeiro,Atletico-MG,0,0,Raphael Claus,19,12,3,1,0,0,-,-,Não,-,-,2.31,3,3.44
Brazil,Serie A,2024,11/08/2024,01:30,21:30,Vasco,Fluminense,2,0,Anderson Daronco,23,12,3,3,0,0,-,-,Não,-,-,2.68,2.99,2.86
Brazil,Serie A,2024,11/08/2024,15:00,11:00,Juventude,Botafogo RJ,3,2,Flavio Rodrigues De Souza,10,14,3,5,0,0,-,-,Não,-,-,3.78,3.34,02.02
Brazil,Serie A,2024,11/08/2024,20:00,16:00,Bahia,Vitoria,2,0,Braulio Da Silva Machado,10,12,3,4,0,0,-,-,Não,-,-,1.64,3.63,5.75
Brazil,Serie A,2024,11/08/2024,20:00,16:00,Flamengo RJ,Palmeiras,1,1,Wilton Pereira Sampaio,15,21,1,4,0,1,-,90'+3,Sim,1x1,1x1,1.73,3.56,05.04
Brazil,Serie A,2024,11/08/2024,20:00,16:00,Sao Paulo,Atletico GO,1,0,Davi de Oliveira Lacerda,15,8,1,2,0,0,-,-,Não,-,-,1.89,3.31,4.44
Brazil,Serie A,2024,11/08/2024,23:00,19:00,Internacional,Athletico-PR,2,2,Paulo Cesar Zanovelli da Silva,18,13,1,2,0,0,-,-,Não,-,-,1.92,3.26,4.32
Brazil,Serie A,2024,14/08/2024,23:30,19:30,Internacional,Juventude,2,1,Gustavo Ervino Bauermann,19,17,2,4,0,0,-,-,Não,-,-,1.57,4.16,5.59
Brazil,Serie A,2024,17/08/2024,20:00,16:00,Atletico-MG,Cuiaba,1,1,Davi de Oliveira Lacerda,13,14,3,6,0,0,-,-,Não,-,-,1.85,3.21,4.93
Brazil,Serie A,2024,17/08/2024,20:00,16:00,Gremio,Bahia,0,2,Matheus Delgado Candançan,10,10,3,1,0,0,-,-,Não,-,-,2.71,3.18,2.69
Brazil,Serie A,2024,17/08/2024,22:30,18:30,Bragantino,Fortaleza,1,2,Alex Gomes Stefano,19,13,4,4,0,0,-,-,Não,-,-,2.55,3.17,2.87
Brazil,Serie A,2024,18/08/2024,01:00,21:00,Fluminense,Corinthians,0,0,Braulio Da Silva Machado,10,17,2,2,0,0,-,-,Não,-,-,2.53,2.88,3.17
Brazil,Serie A,2024,18/08/2024,20:00,16:00,Atletico GO,Internacional,1,0,Flavio Rodrigues De Souza,11,6,3,0,0,0,-,-,Não,-,-,3,3.1,2.49
Brazil,Serie A,2024,18/08/2024,20:00,16:00,Criciuma,Vasco,2,2,Paulo Cesar Zanovelli da Silva,15,7,3,2,0,0,-,-,Não,-,-,02.06,3.25,3.77
Brazil,Serie A,2024,18/08/2024,20:00,16:00,Palmeiras,Sao Paulo,2,1,Raphael Claus,17,12,4,3,0,1,-,90'+6,Sim,1x1,2x1,1.7,3.45,5.58
Brazil,Serie A,2024,18/08/2024,22:30,18:30,Athletico-PR,Juventude,1,2,Joao Vitor Gobi,17,10,4,2,0,0,-,-,Não,-,-,1.68,3.92,4.87
Brazil,Serie A,2024,18/08/2024,22:30,18:30,Botafogo RJ,Flamengo RJ,4,1,Bruno Arleu de Araujo,17,7,4,2,0,0,-,-,Não,-,-,2.38,3.11,3.19
Brazil,Serie A,2024,20/08/2024,00:00,20:00,Vitoria,Cruzeiro,2,2,Vinicius Melo de Lima,10,13,1,3,1,0,38',-,Sim,2x0,2x2,2.79,2.9,2.82
Brazil,Serie A,2024,24/08/2024,20:00,16:00,Atletico GO,Juventude,2,1,Bruno Pereira Vasconcelos,17,10,5,6,1,1,80',90'+6,Sim,1x0,2x1,1.82,3.49,4.54
Brazil,Serie A,2024,24/08/2024,22:30,18:30,Palmeiras,Cuiaba,5,0,Alex Gomes Stefano,16,6,1,1,0,0,-,-,Não,-,-,1.44,4.31,7.7
Brazil,Serie A,2024,25/08/2024,01:00,21:00,Atletico-MG,Fluminense,0,2,Flavio Rodrigues De Souza,19,7,5,3,0,0,-,-,Não,-,-,1.92,3.16,4.55
Brazil,Serie A,2024,25/08/2024,20:00,16:00,Bahia,Botafogo RJ,0,0,Ramon Abatti Abel,19,21,4,4,0,0,-,-,Não,-,-,2.22,3.4,3.21
Brazil,Serie A,2024,25/08/2024,20:00,16:00,Criciuma,Gremio,0,1,Lucas Paulo Torezin,15,8,2,1,0,0,-,-,Não,-,-,2.75,3.21,2.64
Brazil,Serie A,2024,25/08/2024,20:00,16:00,Fortaleza,Corinthians,1,0,Felipe Fernandes de Lima,14,16,3,3,0,0,-,-,Não,-,-,1.97,3.22,4.21
Brazil,Serie A,2024,25/08/2024,22:30,18:30,Sao Paulo,Vitoria,2,1,Wilton Pereira Sampaio,7,8,0,2,0,0,-,-,Não,-,-,1.73,3.53,05.09
Brazil,Serie A,2024,25/08/2024,23:00,19:00,Internacional,Cruzeiro,1,0,Matheus Delgado Candançan,12,9,3,2,0,0,-,-,Não,-,-,2,3.15,4.18
Brazil,Serie A,2024,26/08/2024,00:00,20:00,Flamengo RJ,Bragantino,2,1,Gustavo Ervino Bauermann,13,12,1,1,0,0,-,-,Não,-,-,1.61,3.76,5.87
Brazil,Serie A,2024,27/08/2024,01:00,21:00,Vasco,Athletico-PR,2,1,Jonathan Berkenstein Pinheiro,10,11,1,2,0,0,-,-,Não,-,-,2.18,3.23,3.48
Brazil,Serie A,2024,28/08/2024,23:30,19:30,Criciuma,Bragantino,1,0,Andre Luiz Skettino Policarpo Bento,17,15,3,5,0,0,-,-,Não,-,-,2.38,3.19,3.12
Brazil,Serie A,2024,28/08/2024,23:30,19:30,Cruzeiro,Internacional,0,0,Joao Vitor Gobi,12,13,2,7,0,1,-,32',Sim,0x0,0x0,2.26,3.13,3.4
Brazil,Serie A,2024,31/08/2024,22:30,18:30,Cuiaba,Criciuma,2,1,Rodrigo Jose Pereira de Lima,16,9,4,0,0,0,-,-,Não,-,-,2,3.25,04.02
Brazil,Serie A,2024,01/09/2024,01:00,21:00,Botafogo RJ,Fortaleza,2,0,Flavio Rodrigues De Souza,13,8,3,4,0,0,-,-,Não,-,-,1.59,3.97,5.71
Brazil,Serie A,2024,01/09/2024,15:00,11:00,Cruzeiro,Atletico GO,3,1,Gustavo Ervino Bauermann,13,7,2,5,0,0,-,-,Não,-,-,1.64,3.58,06.05
Brazil,Serie A,2024,01/09/2024,15:00,11:00,Gremio,Atletico-MG,2,3,Raphael Claus,11,17,2,3,1,0,20',-,Sim,0x0,2x3,2.17,03.01,3.8
Brazil,Serie A,2024,01/09/2024,20:00,16:00,Corinthians,Flamengo RJ,2,1,Ramon Abatti Abel,18,18,5,4,2,1,90'+5 e 90'+11,90'+11,Sim,2x1,2x1,2.52,2.96,03.09
Brazil,Serie A,2024,01/09/2024,22:30,18:30,Athletico-PR,Palmeiras,0,2,Braulio Da Silva Machado,10,9,2,1,0,0,-,-,Não,-,-,3.59,3.47,02.04
Brazil,Serie A,2024,01/09/2024,22:30,18:30,Bragantino,Bahia,2,1,Davi de Oliveira Lacerda,8,13,2,3,0,0,-,-,Não,-,-,2.3,3.35,03.08
Brazil,Serie A,2024,01/09/2024,22:30,18:30,Fluminense,Sao Paulo,2,0,Paulo Cesar Zanovelli da Silva,13,16,4,4,0,0,-,-,Não,-,-,2.36,2.88,3.5
Brazil,Serie A,2024,01/09/2024,22:30,18:30,Juventude,Internacional,1,3,Marcelo de Lima Henrique,13,17,1,2,1,0,45',-,Sim,0x2,1x3,3.43,3.21,2.2
Brazil,Serie A,2024,01/09/2024,22:30,18:30,Vitoria,Vasco,0,1,Luiz Flavio de Oliveira,7,7,3,3,0,0,-,-,Não,-,-,2.3,3.13,3.28
Brazil,Serie A,2024,06/09/2024,00:00,20:00,Cuiaba,Juventude,0,0,Felipe Fernandes de Lima,17,11,3,1,0,0,-,-,Não,-,-,2.11,3.29,3.62
Brazil,Serie A,2024,11/09/2024,23:00,19:00,Internacional,Fortaleza,2,1,Gustavo Ervino Bauermann,19,9,2,6,0,1,-,85',Sim,2x1,2x1,2,3.3,3.97
Brazil,Serie A,2024,14/09/2024,20:00,16:00,Atletico GO,Vitoria,0,2,Edina Alves Batista,14,14,3,6,0,0,-,-,Não,-,-,1.96,3.3,04.09
Brazil,Serie A,2024,14/09/2024,22:30,18:30,Athletico-PR,Fortaleza,1,1,Davi de Oliveira Lacerda,12,10,2,2,0,0,-,-,Não,-,-,1.9,3.58,3.99
Brazil,Serie A,2024,15/09/2024,01:00,21:00,Botafogo RJ,Corinthians,2,1,Anderson Daronco,12,7,1,3,0,0,-,-,Não,-,-,1.59,3.86,5.89
Brazil,Serie A,2024,15/09/2024,20:00,16:00,Bragantino,Gremio,2,2,Bruno Arleu de Araujo,12,7,5,1,0,0,-,-,Não,-,-,2.43,3.34,2.88
Brazil,Serie A,2024,15/09/2024,20:00,16:00,Juventude,Fluminense,2,1,Flavio Rodrigues De Souza,8,9,5,4,0,0,-,-,Não,-,-,2.95,3.2,2.46
Brazil,Serie A,2024,15/09/2024,20:00,16:00,Palmeiras,Criciuma,5,0,Alex Gomes Stefano,12,11,0,3,1,0,67',-,Sim,4x0,5x0,1.28,5.56,10.48
Brazil,Serie A,2024,15/09/2024,22:30,18:30,Bahia,Atletico-MG,3,0,Rafael Rodrigo Klein,17,16,1,3,0,0,-,-,Não,-,-,1.93,3.46,3.99
Brazil,Serie A,2024,15/09/2024,22:30,18:30,Cruzeiro,Sao Paulo,0,1,Wilton Pereira Sampaio,11,10,4,3,0,0,-,-,Não,-,-,1.84,3.22,4.94
Brazil,Serie A,2024,15/09/2024,22:30,18:30,Flamengo RJ,Vasco,1,1,Raphael Claus,10,10,0,1,0,0,-,-,Não,-,-,1.71,3.64,5
Brazil,Serie A,2024,17/09/2024,00:00,20:00,Internacional,Cuiaba,3,0,Braulio Da Silva Machado,8,10,1,2,0,0,-,-,Não,-,-,1.45,04.02,08.06
Brazil,Serie A,2024,21/09/2024,20:00,16:00,Corinthians,Atletico GO,3,0,Bruno Arleu de Araujo,7,17,3,4,0,0,-,-,Não,-,-,1.58,3.83,6.13
Brazil,Serie A,2024,21/09/2024,20:00,16:00,Vitoria,Juventude,1,0,Braulio Da Silva Machado,12,15,3,4,0,0,-,-,Não,-,-,02.01,3.25,3.97
Brazil,Serie A,2024,21/09/2024,22:30,18:30,Fluminense,Botafogo RJ,0,1,Wilton Pereira Sampaio,13,17,1,1,0,0,-,-,Não,-,-,3.41,3.13,2.25
Brazil,Serie A,2024,22/09/2024,01:00,21:00,Fortaleza,Bahia,4,1,Raphael Claus,13,9,2,1,1,0,83',-,Sim,3x1,4x1,2.59,3.2,2.79
Brazil,Serie A,2024,22/09/2024,20:00,16:00,Atletico-MG,Bragantino,3,0,Lucas Paulo Torezin,14,9,2,3,0,0,-,-,Não,-,-,2.18,3.28,3.42
Brazil,Serie A,2024,22/09/2024,20:00,16:00,Vasco,Palmeiras,0,1,Rafael Rodrigo Klein,8,14,1,3,0,0,-,-,Não,-,-,4.23,3.78,1.8
Brazil,Serie A,2024,22/09/2024,22:30,18:30,Cuiaba,Cruzeiro,0,0,Flavio Rodrigues De Souza,10,10,0,1,0,1,-,82',Sim,0x0,0x0,2.8,2.87,2.84
Brazil,Serie A,2024,22/09/2024,22:30,18:30,Gremio,Flamengo RJ,3,2,Matheus Delgado Candançan,6,13,1,0,0,1,-,58',Sim,2x1,3x2,1.81,3.57,4.4
Brazil,Serie A,2024,22/09/2024,22:30,18:30,Sao Paulo,Internacional,1,3,Ramon Abatti Abel,18,16,5,1,0,0,-,-,Não,-,-,2.84,2.87,2.8
Brazil,Serie A,2024,23/09/2024,00:00,20:00,Criciuma,Athletico-PR,0,0,Anderson Daronco,11,12,2,2,0,0,-,-,Não,-,-,2.22,3.31,3.28
Brazil,Serie A,2024,25/09/2024,23:00,19:00,Bragantino,Internacional,2,2,Rodrigo Jose Pereira de Lima,13,13,3,2,0,0,-,-,Não,-,-,3.2,3.24,2.31
Brazil,Serie A,2024,25/09/2024,23:00,19:00,Gremio,Criciuma,1,2,Davi de Oliveira Lacerda,8,12,2,5,0,0,-,-,Não,-,-,1.69,3.81,4.88
Brazil,Serie A,2024,28/09/2024,22:30,18:30,Palmeiras,Atletico-MG,2,1,Bruno Arleu de Araujo,15,10,2,2,0,0,-,-,Não,-,-,1.7,3.65,5.14
Brazil,Serie A,2024,29/09/2024,01:00,21:00,Botafogo RJ,Gremio,0,0,Maguielson Lima Barbosa,10,14,4,3,0,1,-,89',Sim,0x0,0x0,1.67,3.89,4.89
Brazil,Serie A,2024,29/09/2024,15:00,11:00,Juventude,Bragantino,1,1,Alex Gomes Stefano,9,19,1,6,0,0,-,-,Não,-,-,2.58,3.15,2.83
Brazil,Serie A,2024,29/09/2024,20:00,16:00,Atletico GO,Fluminense,1,0,Ramon Abatti Abel,15,14,1,2,0,0,-,-,Não,-,-,2.49,3.11,2.99
Brazil,Serie A,2024,29/09/2024,20:00,16:00,Fortaleza,Cuiaba,1,0,Denis da Silva Ribeiro Serafim,18,9,2,4,0,0,-,-,Não,-,-,1.72,3.54,5.2
Brazil,Serie A,2024,29/09/2024,20:00,16:00,Sao Paulo,Corinthians,3,1,Rafael Rodrigo Klein,18,17,6,6,0,2,-,45'+5 e 63',Sim,0x0,3x1,2.59,2.9,03.08
Brazil,Serie A,2024,29/09/2024,22:30,18:30,Bahia,Criciuma,1,0,Edina Alves Batista,10,8,1,2,0,0,-,-,Não,-,-,1.61,04.02,5.26
Brazil,Serie A,2024,29/09/2024,22:30,18:30,Cruzeiro,Vasco,1,1,Matheus Delgado Candançan,7,6,0,3,0,1,-,78',Sim,1x1,1x1,1.78,3.51,4.69
Brazil,Serie A,2024,29/09/2024,22:30,18:30,Internacional,Vitoria,3,1,Wagner do Nascimento Magalhaes,26,8,3,1,0,0,-,-,Não,-,-,1.38,4.74,8.25
Brazil,Serie A,2024,30/09/2024,00:00,20:00,Flamengo RJ,Athletico-PR,1,0,Davi de Oliveira Lacerda,12,13,2,2,0,0,-,-,Não,-,-,1.67,3.76,5.14
Brazil,Serie A,2024,03/10/2024,23:00,19:00,Criciuma,Atletico GO,2,0,Joao Vitor Gobi,16,8,1,4,0,0,-,-,Não,-,-,1.85,3.57,4.26
Brazil,Serie A,2024,04/10/2024,01:30,21:30,Fluminense,Cruzeiro,1,0,Gustavo Ervino Bauermann,19,16,8,3,0,0,-,-,Não,-,-,2.43,2.99,3.21
Brazil,Serie A,2024,05/10/2024,01:30,21:30,Gremio,Fortaleza,3,1,Davi de Oliveira Lacerda,11,9,2,4,0,1,-,80',Sim,2x1,3x1,2.12,3.35,3.49
